Robot X[m],Robot Y[m],Robot Theta[rads],Landmark X[m],Landmark Y[m],Range[m],Bearing[rads]
1.0811306,1.9624308,1.7314,0.8891764,4.40906195,2.524,-0.07
1.0787882,1.9793804,1.7328,0.8891764,4.40906195,2.516,-0.065
1.0773683,1.9925617,1.6773,0.8891764,4.40906195,2.496,-0.014
1.0758049,2.0021193,1.5918,0.8891764,4.40906195,2.477,0.063
1.0745099,2.017445,1.5723,0.8891764,4.40906195,2.451,0.1
1.0734154,2.0334602,1.5632,0.8891764,4.40906195,2.443,0.101
1.0739238,2.0508215,1.5475,0.8891764,4.40906195,2.431,0.103
1.0745,2.0606753,1.4477,0.8891764,4.40906195,2.365,0.205
1.0746906,2.0711343,1.379,0.8891764,4.40906195,2.348,0.256
1.0765776,2.0880296,1.3791,0.8891764,4.40906195,2.312,0.275
1.0801728,2.1006525,1.3264,2.39221778,3.80018838,2.032,-0.423
1.0801728,2.1006525,1.3264,0.8891764,4.40906195,2.264,0.325
1.0823509,2.1115966,1.2476,0.8891764,4.40906195,2.183,0.403
1.0879302,2.1273047,1.2172,0.8891764,4.40906195,2.151,0.438
1.0929265,2.1414901,1.2183,0.8891764,4.40906195,2.127,0.447
1.0972042,2.1520301,1.1404,0.8891764,4.40906195,2.051,0.506
1.1018421,2.1629997,1.0477,2.39221778,3.80018838,2.125,-0.146
1.1089427,2.1764677,1.0467,2.39221778,3.80018838,2.118,-0.139
1.1177444,2.1917682,1.037,2.39221778,3.80018838,2.105,-0.137
1.1248199,2.2026046,0.9904,2.39221778,3.80018838,2.135,-0.069
1.1352847,2.2185165,0.9727,2.39221778,3.80018838,2.084,-0.08
1.1436859,2.2311351,0.9185,2.39221778,3.80018838,2.079,-0.035
1.1531472,2.244793,0.8753,2.39221778,3.80018838,2.048,0.026
1.1622168,2.2553809,0.8633,2.39221778,3.80018838,2.033,0.043
1.1751283,2.2691026,0.861,2.39221778,3.80018838,2.015,0.048
1.1849655,2.2817435,0.8585,2.39221778,3.80018838,2.023,0.047
1.1970662,2.2937793,0.8671,2.39221778,3.80018838,1.996,0.051
1.2085531,2.3085985,0.8609,2.39221778,3.80018838,1.971,0.045
1.2194457,2.3193336,0.8645,2.39221778,3.80018838,1.951,0.045
1.229133,2.3318319,0.8563,2.39221778,3.80018838,1.933,0.047
1.2403418,2.3419113,0.8636,2.39221778,3.80018838,1.922,0.048
1.2505644,2.3567151,0.8533,2.39221778,3.80018838,1.9,0.05
1.2630439,2.3678185,0.8645,4.13634588,3.60883503,2.9,-0.45
1.2630439,2.3678185,0.8645,2.39221778,3.80018838,1.884,0.048
1.2720053,2.3816917,0.8545,2.39221778,3.80018838,1.873,0.051
1.2837316,2.3935409,0.8601,4.13634588,3.60883503,2.929,-0.443
1.2837316,2.3935409,0.8601,2.39221778,3.80018838,1.865,0.053
1.2946279,2.4063776,0.8631,2.39221778,3.80018838,1.844,0.048
1.3042038,2.4182541,0.8625,2.39221778,3.80018838,1.821,0.05
1.3150723,2.4307529,0.838,2.39221778,3.80018838,1.809,0.049
1.3231467,2.4397921,0.7438,2.39221778,3.80018838,1.782,0.124
1.330702,2.4489498,0.6579,2.39221778,3.80018838,1.723,0.256
1.3396628,2.4568746,0.5566,2.39221778,3.80018838,1.677,0.326
1.3492089,2.4632738,0.4552,2.39221778,3.80018838,1.593,0.442
1.360609,2.4689961,0.352,2.39221778,3.80018838,1.528,0.517
1.3712734,2.4704893,0.2667,4.13634588,3.60883503,3.044,0.089
1.3828245,2.4740549,0.1744,4.13634588,3.60883503,2.981,0.219
1.3929306,2.4766143,0.0848,3.26730988,2.52731607,1.924,-0.077
1.3929306,2.4766143,0.0848,4.13634588,3.60883503,2.913,0.298
1.4063121,2.4787182,-0.0107,3.26730988,2.52731607,1.929,0.001
1.4063121,2.4787182,-0.0107,4.13634588,3.60883503,2.847,0.369
1.4153415,2.4785368,-0.1119,4.13634588,3.60883503,2.691,0.487
1.4283504,2.4789209,-0.2018,3.26730988,2.52731607,1.856,0.205
1.4387598,2.4765043,-0.29,3.26730988,2.52731607,1.815,0.279
1.4496798,2.4721354,-0.3811,3.26730988,2.52731607,1.74,0.4
1.4612228,2.4678869,-0.4828,3.26730988,2.52731607,1.655,0.486
1.4720172,2.4630955,-0.576,4.6723925,0.8440939,3.643,0.119
1.48173,2.4568056,-0.6649,4.6723925,0.8440939,3.608,0.192
1.4913283,2.4511966,-0.7659,4.6723925,0.8440939,3.526,0.268
1.4997924,2.4430288,-0.8645,4.6723925,0.8440939,3.369,0.39
1.5066792,2.4349074,-0.9488,4.6723925,0.8440939,3.256,0.47
1.5252238,2.4072424,-1.2552,1.91856554,-0.82058089,3.25,-0.231
1.5326815,2.3820436,-1.428,1.91856554,-0.82058089,3.325,-0.047
1.5326815,2.3820436,-1.428,2.76327261,0.24394752,2.39,0.345
1.5356548,2.3667022,-1.4445,2.65345619,-3.75123336,6.404,0.046
1.5383889,2.3490445,-1.4736,0.48704624,-4.95127346,7.234,-0.249
1.5383889,2.3490445,-1.4736,2.76327261,0.24394752,2.303,0.415
1.5394531,2.3321748,-1.4899,0.91765949,0.59631939,1.738,-0.44
1.5394531,2.3321748,-1.4899,0.84527678,-1.61673856,3.964,-0.269
1.5394531,2.3321748,-1.4899,0.97259759,-3.19151915,5.557,-0.194
1.5394531,2.3321748,-1.4899,1.91856554,-0.82058089,3.25,0.027
1.5394531,2.3321748,-1.4899,2.65345619,-3.75123336,6.261,0.094
1.5394531,2.3321748,-1.4899,2.76327261,0.24394752,2.285,0.422
1.5405489,2.3044254,-1.4946,0.84527678,-1.61673856,4.085,-0.25
1.5405489,2.3044254,-1.4946,1.91856554,-0.82058089,3.224,0.041
1.5405489,2.3044254,-1.4946,2.65345619,-3.75123336,6.261,0.096
1.5405489,2.3044254,-1.4946,2.76327261,0.24394752,2.231,0.447
1.5429644,2.2752554,-1.5035,0.91765949,0.59631939,1.702,-0.438
1.5429644,2.2752554,-1.5035,0.84527678,-1.61673856,3.957,-0.254
1.5429644,2.2752554,-1.5035,0.97259759,-3.19151915,5.521,-0.178
1.5429644,2.2752554,-1.5035,1.91856554,-0.82058089,3.208,0.045
1.5429644,2.2752554,-1.5035,2.76327261,0.24394752,2.215,0.468
1.5436767,2.2405691,-1.731,0.84527678,-1.61673856,4.027,-0.056
1.5436767,2.2405691,-1.731,1.91856554,-0.82058089,3.109,0.242
1.5419972,2.2293103,-1.784,0.97259759,-3.19151915,5.521,0.108
1.5419972,2.2293103,-1.784,1.91856554,-0.82058089,2.991,0.331
1.5374421,2.2099349,-1.8446,0.84527678,-1.61673856,3.971,0.083
1.5374421,2.2099349,-1.8446,1.91856554,-0.82058089,2.927,0.384
1.5338295,2.1977117,-1.902,0.84527678,-1.61673856,3.95,0.148
1.5338295,2.1977117,-1.902,2.65345619,-3.75123336,5.414,0.512
1.5277638,2.1826116,-1.947,0.91765949,0.59631939,1.757,0.006
1.5234829,2.1701093,-1.9968,0.84527678,-1.61673856,3.863,0.228
1.5234829,2.1701093,-1.9968,0.97259759,-3.19151915,5.224,0.309
1.5167672,2.1553965,-2.0238,0.97259759,-3.19151915,5.146,0.348
1.509984,2.1395753,-2.0252,0.48704624,-4.95127346,6.877,0.314
1.509984,2.1395753,-2.0252,0.97259759,-3.19151915,5.142,0.349
1.5025463,2.1248556,-2.0212,0.48704624,-4.95127346,6.992,0.315
1.5025463,2.1248556,-2.0212,0.97259759,-3.19151915,5.119,0.354
1.4948384,2.1103146,-2.0127,0.97259759,-3.19151915,5.119,0.358
1.4876522,2.0933379,-2.0196,0.97259759,-3.19151915,5.119,0.353
1.4803384,2.0810467,-2.0116,0.84527678,-1.61673856,3.71,0.278
1.4803384,2.0810467,-2.0116,0.97259759,-3.19151915,5.119,0.349
1.4749074,2.0674687,-2.0108,0.91765949,0.59631939,1.64,0.09
1.4660586,2.0516306,-2.0102,0.48704624,-4.95127346,6.712,0.312
1.4660586,2.0516306,-2.0102,0.97259759,-3.19151915,5.028,0.354
1.4595957,2.0375513,-2.0076,0.84527678,-1.61673856,3.676,0.279
1.4595957,2.0375513,-2.0076,0.97259759,-3.19151915,5.119,0.355
1.4537071,2.0231137,-2.0115,0.48704624,-4.95127346,6.712,0.314
1.4537071,2.0231137,-2.0115,0.97259759,-3.19151915,5.028,0.352
1.44552,2.0087644,-2.0084,0.97259759,-3.19151915,4.992,0.354
1.4396693,1.994574,-2.0146,0.97259759,-3.19151915,4.953,0.357
1.431554,1.9794908,-2.0136,0.48704624,-4.95127346,6.752,0.309
1.431554,1.9794908,-2.0136,0.97259759,-3.19151915,4.95,0.36
1.4253792,1.9656201,-2.0164,0.97259759,-3.19151915,4.939,0.358
1.4199805,1.9529996,-2.0181,0.48704624,-4.95127346,6.766,0.32
1.4199805,1.9529996,-2.0181,0.97259759,-3.19151915,4.939,0.358
1.4115688,1.9390873,-2.0133,0.48704624,-4.95127346,6.712,0.317
1.4115688,1.9390873,-2.0133,0.97259759,-3.19151915,4.939,0.363
1.4062865,1.9238193,-2.021,0.97259759,-3.19151915,4.939,0.365
1.3978174,1.9108796,-2.0098,0.48704624,-4.95127346,6.712,0.317
1.3978174,1.9108796,-2.0098,0.97259759,-3.19151915,4.939,0.368
1.3919273,1.896138,-2.0161,0.97259759,-3.19151915,4.854,0.369
1.3775457,1.8688777,-2.0194,0.91765949,0.59631939,1.413,0.09
1.3775457,1.8688777,-2.0194,0.97259759,-3.19151915,4.854,0.368
1.3726207,1.8565172,-2.0235,0.97259759,-3.19151915,4.854,0.369
1.3645292,1.8411404,-1.9921,0.84527678,-1.61673856,3.486,0.287
1.3529061,1.8153976,-1.9334,0.48704624,-4.95127346,6.712,0.236
1.3529061,1.8153976,-1.9334,0.97259759,-3.19151915,4.939,0.282
1.3474459,1.8001966,-1.9301,0.97259759,-3.19151915,4.918,0.279
1.3420016,1.7864832,-1.9266,0.84527678,-1.61673856,3.447,0.216
1.341318,1.7825169,-1.9233,0.84527678,-1.61673856,3.444,0.209
1.341318,1.7825169,-1.9233,0.97259759,-3.19151915,4.854,0.276
1.3400985,1.7776379,-1.8993,0.84527678,-1.61673856,3.447,0.189
1.3400985,1.7776379,-1.8993,0.97259759,-3.19151915,4.854,0.258
1.335534,1.7665397,-1.8032,0.91765949,0.59631939,1.302,-0.094
1.335534,1.7665397,-1.8032,0.84527678,-1.61673856,3.486,0.091
1.3327072,1.7553029,-1.7713,0.84527678,-1.61673856,3.535,0.059
1.3312639,1.7408844,-1.7653,0.91765949,0.59631939,1.266,-0.163
1.3270151,1.7252029,-1.7498,0.91765949,0.59631939,1.26,-0.163
1.3270151,1.7252029,-1.7498,1.91856554,-0.82058089,2.484,0.413
1.323854,1.7088546,-1.7557,0.48704624,-4.95127346,6.712,0.069
1.323854,1.7088546,-1.7557,0.97259759,-3.19151915,5.028,0.119
1.3214867,1.6933564,-1.7559,0.48704624,-4.95127346,6.877,0.066
1.3214867,1.6933564,-1.7559,1.91856554,-0.82058089,2.454,0.41
1.3174721,1.6752546,-1.7531,0.48704624,-4.95127346,6.877,0.066
1.3174721,1.6752546,-1.7531,1.91856554,-0.82058089,2.459,0.405
1.3151254,1.6648952,-1.6809,0.84527678,-1.61673856,3.403,-0.024
1.3151254,1.6648952,-1.6809,1.91856554,-0.82058089,2.496,0.357
1.3137385,1.6468228,-1.6799,0.48704624,-4.95127346,6.712,-0.011
1.3137385,1.6468228,-1.6799,1.91856554,-0.82058089,2.474,0.345
1.3109369,1.6312524,-1.6699,0.84527678,-1.61673856,3.369,-0.039
1.3101546,1.6161201,-1.6695,0.97259759,-3.19151915,4.854,0.025
1.3101546,1.6161201,-1.6695,1.91856554,-0.82058089,2.448,0.336
1.3085388,1.6042687,-1.5775,0.97259759,-3.19151915,4.865,-0.043
1.3085388,1.6042687,-1.5775,1.91856554,-0.82058089,2.5,0.272
1.3087616,1.5882564,-1.5888,0.48704624,-4.95127346,6.632,-0.101
1.3087616,1.5882564,-1.5888,1.91856554,-0.82058089,2.496,0.249
1.3081708,1.5698819,-1.5874,0.84527678,-1.61673856,3.268,-0.123
1.3068478,1.5383899,-1.5597,1.91856554,-0.82058089,2.434,0.267
1.3056412,1.5261022,-1.4801,1.91856554,-0.82058089,2.471,0.167
1.3076029,1.5145598,-1.3879,1.91856554,-0.82058089,2.478,0.095
1.3076029,1.5145598,-1.3879,3.72073503,-1.98025384,3.916,0.438
1.3100047,1.5021296,-1.3144,1.91856554,-0.82058089,2.48,0.02
1.3100047,1.5021296,-1.3144,3.72073503,-1.98025384,4.085,0.365
1.3127768,1.4893652,-1.2579,2.76327261,0.24394752,1.729,0.52
1.3171568,1.474691,-1.1792,2.76327261,0.24394752,1.749,0.5
1.3236635,1.4610356,-1.1382,0.97259759,-3.19151915,4.212,-0.503
1.3236635,1.4610356,-1.1382,2.76327261,0.24394752,1.773,0.441
1.3295798,1.4466331,-1.0696,3.72073503,-1.98025384,4.237,0.118
1.3295798,1.4466331,-1.0696,2.76327261,0.24394752,1.805,0.389
1.3375129,1.4316852,-1.019,2.76327261,0.24394752,1.831,0.34
1.3461347,1.4170393,-0.9686,3.72073503,-1.98025384,4.259,0.033
1.3461347,1.4170393,-0.9686,2.76327261,0.24394752,1.829,0.291
1.355196,1.4043402,-0.9422,3.72073503,-1.98025384,4.219,-0.012
1.355196,1.4043402,-0.9422,2.76327261,0.24394752,1.841,0.254
1.3657268,1.3915935,-0.9509,2.76327261,0.24394752,1.814,0.261
1.3742586,1.3786167,-0.9582,3.72073503,-1.98025384,4.163,-0.01
1.3742586,1.3786167,-0.9582,2.76327261,0.24394752,1.795,0.262
1.3840275,1.3648389,-0.9494,3.72073503,-1.98025384,4.184,-0.009
1.3840275,1.3648389,-0.9494,2.76327261,0.24394752,1.78,0.264
1.3925814,1.354059,-0.9556,2.76327261,0.24394752,1.767,0.267
1.4020486,1.339143,-0.952,1.91856554,-0.82058089,2.129,-0.392
1.4020486,1.339143,-0.952,2.76327261,0.24394752,1.74,0.27
1.4126768,1.3264715,-0.9554,3.72073503,-1.98025384,4.158,-0.008
1.4126768,1.3264715,-0.9554,2.76327261,0.24394752,1.736,0.273
1.4209225,1.3140626,-0.9556,2.76327261,0.24394752,1.711,0.274
1.4316574,1.2995785,-0.9528,2.76327261,0.24394752,1.697,0.276
1.4415512,1.2857043,-0.9569,2.76327261,0.24394752,1.697,0.277
1.4512789,1.2742502,-0.9637,3.72073503,-1.98025384,4.094,-0.003
1.4512789,1.2742502,-0.9637,2.76327261,0.24394752,1.66,0.287
1.4601296,1.261736,-0.9654,1.91856554,-0.82058089,2.055,-0.404
1.4601296,1.261736,-0.9654,2.76327261,0.24394752,1.649,0.289
1.4691503,1.2477918,-0.9603,2.65345619,-3.75123336,4.854,-0.379
1.4691503,1.2477918,-0.9603,2.76327261,0.24394752,1.626,0.291
1.4788118,1.2347667,-0.9624,3.72073503,-1.98025384,4.036,-0.002
1.4788118,1.2347667,-0.9624,2.76327261,0.24394752,1.614,0.295
1.4882768,1.2214444,-0.9635,1.91856554,-0.82058089,1.996,-0.414
1.4882768,1.2214444,-0.9635,2.65345619,-3.75123336,4.854,-0.384
1.4882768,1.2214444,-0.9635,3.12907696,-5.5581163,6.712,-0.376
1.4882768,1.2214444,-0.9635,3.72073503,-1.98025384,3.974,-0.005
1.4882768,1.2214444,-0.9635,2.76327261,0.24394752,1.604,0.297
1.4971608,1.2091607,-0.9635,1.91856554,-0.82058089,1.977,-0.413
1.4971608,1.2091607,-0.9635,2.65345619,-3.75123336,4.854,-0.384
1.4971608,1.2091607,-0.9635,3.72073503,-1.98025384,3.999,-0.004
1.4971608,1.2091607,-0.9635,2.76327261,0.24394752,1.584,0.301
1.4983403,1.2094079,-0.9623,1.91856554,-0.82058089,1.979,-0.42
1.4983403,1.2094079,-0.9623,2.65345619,-3.75123336,4.854,-0.387
1.4983403,1.2094079,-0.9623,3.72073503,-1.98025384,4.009,-0.007
1.4983403,1.2094079,-0.9623,2.76327261,0.24394752,1.582,0.299
1.498506,1.2082976,-0.9607,1.91856554,-0.82058089,1.969,-0.42
1.498506,1.2082976,-0.9607,2.65345619,-3.75123336,4.854,-0.387
1.498506,1.2082976,-0.9607,3.72073503,-1.98025384,3.971,-0.008
1.498506,1.2082976,-0.9607,2.76327261,0.24394752,1.58,0.299
1.4980463,1.2079935,-0.9636,1.91856554,-0.82058089,1.966,-0.42
1.4980463,1.2079935,-0.9636,2.65345619,-3.75123336,4.786,-0.387
1.4980463,1.2079935,-0.9636,3.12907696,-5.5581163,6.453,-0.379
1.4980463,1.2079935,-0.9636,3.72073503,-1.98025384,3.967,-0.007
1.4980463,1.2079935,-0.9636,2.76327261,0.24394752,1.574,0.299
1.4983272,1.2076547,-0.9633,1.91856554,-0.82058089,1.965,-0.42
1.4983272,1.2076547,-0.9633,2.65345619,-3.75123336,4.781,-0.387
1.4983272,1.2076547,-0.9633,3.12907696,-5.5581163,6.554,-0.377
1.4983272,1.2076547,-0.9633,3.72073503,-1.98025384,3.974,-0.007
1.4983272,1.2076547,-0.9633,2.76327261,0.24394752,1.58,0.296
1.4989742,1.2068213,-0.9607,1.91856554,-0.82058089,1.972,-0.42
1.4989742,1.2068213,-0.9607,2.65345619,-3.75123336,4.846,-0.388
1.4989742,1.2068213,-0.9607,3.12907696,-5.5581163,6.554,-0.379
1.4989742,1.2068213,-0.9607,3.72073503,-1.98025384,3.974,-0.006
1.4989742,1.2068213,-0.9607,2.76327261,0.24394752,1.58,0.299
1.5068295,1.1954415,-0.9598,1.91856554,-0.82058089,1.96,-0.422
1.5068295,1.1954415,-0.9598,2.65345619,-3.75123336,4.805,-0.389
1.5068295,1.1954415,-0.9598,3.12907696,-5.5581163,6.554,-0.38
1.5068295,1.1954415,-0.9598,3.72073503,-1.98025384,3.962,-0.008
1.5068295,1.1954415,-0.9598,2.76327261,0.24394752,1.573,0.301
1.5157618,1.1842741,-0.9624,1.91856554,-0.82058089,1.938,-0.428
1.5157618,1.1842741,-0.9624,2.65345619,-3.75123336,4.797,-0.392
1.5157618,1.1842741,-0.9624,3.72073503,-1.98025384,3.922,-0.008
1.5157618,1.1842741,-0.9624,2.76327261,0.24394752,1.548,0.303
1.5260827,1.1696775,-0.9593,2.65345619,-3.75123336,4.838,-0.392
1.5260827,1.1696775,-0.9593,2.76327261,0.24394752,1.543,0.303
1.5354836,1.1567473,-0.9636,2.76327261,0.24394752,1.524,0.307
1.5455857,1.1419445,-0.9588,3.12907696,-5.5581163,6.493,-0.385
1.5455857,1.1419445,-0.9588,2.76327261,0.24394752,1.502,0.305
1.5552072,1.1292076,-0.9606,1.91856554,-0.82058089,1.865,-0.445
1.5552072,1.1292076,-0.9606,2.65345619,-3.75123336,4.698,-0.403
1.5552072,1.1292076,-0.9606,3.72073503,-1.98025384,3.868,-0.012
1.5552072,1.1292076,-0.9606,2.76327261,0.24394752,1.486,0.312
1.5649509,1.1157542,-0.9604,2.65345619,-3.75123336,4.711,-0.403
1.5649509,1.1157542,-0.9604,2.76327261,0.24394752,1.462,0.317
1.5750505,1.1023854,-0.9646,3.12907696,-5.5581163,6.404,-0.385
1.5750505,1.1023854,-0.9646,2.76327261,0.24394752,1.445,0.321
1.5837379,1.0896161,-0.9646,2.76327261,0.24394752,1.423,0.326
1.5937624,1.0751806,-0.9611,2.65345619,-3.75123336,4.629,-0.407
1.5937624,1.0751806,-0.9611,2.76327261,0.24394752,1.408,0.327
1.6029494,1.0634982,-0.9656,1.91856554,-0.82058089,1.793,-0.459
1.6029494,1.0634982,-0.9656,2.76327261,0.24394752,1.394,0.331
1.6102764,1.0527584,-1.044,3.12907696,-5.5581163,6.658,-0.309
1.6102764,1.0527584,-1.044,2.76327261,0.24394752,1.351,0.403
1.6184722,1.0384799,-1.045,2.76327261,0.24394752,1.332,0.42
1.6289252,1.0194187,-1.0388,2.65345619,-3.75123336,4.706,-0.322
1.6289252,1.0194187,-1.0388,2.76327261,0.24394752,1.32,0.427
1.6346316,1.0114818,-1.0474,3.12907696,-5.5581163,6.554,-0.305
1.6346316,1.0114818,-1.0474,2.76327261,0.24394752,1.296,0.432
1.6416601,0.9993405,-1.0474,1.91856554,-0.82058089,1.786,-0.388
1.6416601,0.9993405,-1.0474,2.76327261,0.24394752,1.285,0.435
1.6482227,0.9903954,-1.1201,2.76327261,0.24394752,1.233,0.498
1.6538985,0.9779155,-1.1343,3.12907696,-5.5581163,6.593,-0.221
1.6612883,0.9615116,-1.1332,2.65345619,-3.75123336,4.854,-0.235
1.6612883,0.9615116,-1.1332,2.76327261,0.24394752,1.211,0.515
1.6689837,0.9481409,-1.137,3.12907696,-5.5581163,6.554,-0.218
1.6689837,0.9481409,-1.137,2.76327261,0.24394752,1.188,0.518
1.6749874,0.9340445,-1.1342,1.91856554,-0.82058089,1.77,-0.309
1.6749874,0.9340445,-1.1342,2.76327261,0.24394752,1.18,0.52
1.6815945,0.9219935,-1.215,3.72073503,-1.98025384,3.548,0.239
1.6866093,0.9073233,-1.2066,2.65345619,-3.75123336,4.772,-0.163
1.6978281,0.87713,-1.2074,2.65345619,-3.75123336,4.772,-0.163
1.6978281,0.87713,-1.2074,3.72073503,-1.98025384,3.488,0.248
1.7040571,0.8638838,-1.2417,2.65345619,-3.75123336,4.772,-0.132
1.7040571,0.8638838,-1.2417,3.72073503,-1.98025384,3.447,0.276
1.7083779,0.8509049,-1.2952,3.72073503,-1.98025384,3.403,0.331
1.7172153,0.8205228,-1.3209,3.12907696,-5.5581163,6.554,-0.04
